A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,A1 NumberofShells,A2 NumberofShells,B NumberofShells,X1 NumberofShells,X2 NumberofShells,X3 NumberofShells,X4 NumberofShells,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,A1 FirstIonization,A2 FirstIonization,B FirstIonization,X1 FirstIonization,X2 FirstIonization,X3 FirstIonization,X4 FirstIonization,A1 AtomicMass,A2 AtomicMass,B AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,A1 MeltingPoint,A2 MeltingPoint,B MeltingPoint,X1 MeltingPoint,X2 MeltingPoint,X3 MeltingPoint,X4 MeltingPoint,Efa (eV/atom)
3,3,82,9,9,9,9,4,4,125,10,10,10,10,2,2,6,2,2,2,2,3.582,3.582,0.129,0.824,0.824,0.824,0.824,0.534,0.534,11.3,0.0017,0.0017,0.0017,0.0017,2.1,2.1,1.8,0.57,0.57,0.57,0.57,5.3917,5.3917,7.4167,17.4228,17.4228,17.4228,17.4228,6.941,6.941,207.2,18.998,18.998,18.998,18.998,453.85,453.85,600.75,53.63,53.63,53.63,53.63,0.745994388
11,11,82,9,9,9,9,12,12,125,10,10,10,10,3,3,6,2,2,2,2,1.228,1.228,0.129,0.824,0.824,0.824,0.824,0.971,0.971,11.3,0.0017,0.0017,0.0017,0.0017,2.2,2.2,1.8,0.57,0.57,0.57,0.57,5.1391,5.1391,7.4167,17.4228,17.4228,17.4228,17.4228,22.99,22.99,207.2,18.998,18.998,18.998,18.998,371.15,371.15,600.75,53.63,53.63,53.63,53.63,0.440086579
19,19,82,9,9,9,9,20,20,125,10,10,10,10,4,4,6,2,2,2,2,0.757,0.757,0.129,0.824,0.824,0.824,0.824,0.862,0.862,11.3,0.0017,0.0017,0.0017,0.0017,2.8,2.8,1.8,0.57,0.57,0.57,0.57,4.3407,4.3407,7.4167,17.4228,17.4228,17.4228,17.4228,39.098,39.098,207.2,18.998,18.998,18.998,18.998,336.5,336.5,600.75,53.63,53.63,53.63,53.63,0.425426341
37,37,82,9,9,9,9,48,48,125,10,10,10,10,5,5,6,2,2,2,2,0.363,0.363,0.129,0.824,0.824,0.824,0.824,1.53,1.53,11.3,0.0017,0.0017,0.0017,0.0017,3,3,1.8,0.57,0.57,0.57,0.57,4.1771,4.1771,7.4167,17.4228,17.4228,17.4228,17.4228,85.468,85.468,207.2,18.998,18.998,18.998,18.998,312.79,312.79,600.75,53.63,53.63,53.63,53.63,0.269788178
55,55,82,9,9,9,9,78,78,125,10,10,10,10,6,6,6,2,2,2,2,0.242,0.242,0.129,0.824,0.824,0.824,0.824,1.87,1.87,11.3,0.0017,0.0017,0.0017,0.0017,3.3,3.3,1.8,0.57,0.57,0.57,0.57,3.8939,3.8939,7.4167,17.4228,17.4228,17.4228,17.4228,132.905,132.905,207.2,18.998,18.998,18.998,18.998,301.7,301.7,600.75,53.63,53.63,53.63,53.63,0.042276527
3,3,32,17,17,17,17,4,4,41,18,18,18,18,2,2,4,3,3,3,3,3.582,3.582,0.32,0.479,0.479,0.479,0.479,0.534,0.534,5.32,0.00321,0.00321,0.00321,0.00321,2.1,2.1,1.5,0.97,0.97,0.97,0.97,5.3917,5.3917,7.8994,12.9676,12.9676,12.9676,12.9676,6.941,6.941,72.64,35.453,35.453,35.453,35.453,453.85,453.85,1211.45,172.31,172.31,172.31,172.31,0.06639047
11,11,32,17,17,17,17,12,12,41,18,18,18,18,3,3,4,3,3,3,3,1.228,1.228,0.32,0.479,0.479,0.479,0.479,0.971,0.971,5.32,0.00321,0.00321,0.00321,0.00321,2.2,2.2,1.5,0.97,0.97,0.97,0.97,5.1391,5.1391,7.8994,12.9676,12.9676,12.9676,12.9676,22.99,22.99,72.64,35.453,35.453,35.453,35.453,371.15,371.15,1211.45,172.31,172.31,172.31,172.31,-0.159967912
19,19,32,17,17,17,17,20,20,41,18,18,18,18,4,4,4,3,3,3,3,0.757,0.757,0.32,0.479,0.479,0.479,0.479,0.862,0.862,5.32,0.00321,0.00321,0.00321,0.00321,2.8,2.8,1.5,0.97,0.97,0.97,0.97,4.3407,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,39.098,39.098,72.64,35.453,35.453,35.453,35.453,336.5,336.5,1211.45,172.31,172.31,172.31,172.31,-0.003963285
37,37,32,17,17,17,17,48,48,41,18,18,18,18,5,5,4,3,3,3,3,0.363,0.363,0.32,0.479,0.479,0.479,0.479,1.53,1.53,5.32,0.00321,0.00321,0.00321,0.00321,3,3,1.5,0.97,0.97,0.97,0.97,4.1771,4.1771,7.8994,12.9676,12.9676,12.9676,12.9676,85.468,85.468,72.64,35.453,35.453,35.453,35.453,312.79,312.79,1211.45,172.31,172.31,172.31,172.31,-0.35974015
55,55,32,17,17,17,17,78,78,41,18,18,18,18,6,6,4,3,3,3,3,0.242,0.242,0.32,0.479,0.479,0.479,0.479,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,3.3,3.3,1.5,0.97,0.97,0.97,0.97,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,132.905,132.905,72.64,35.453,35.453,35.453,35.453,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,-0.5032749
3,3,50,17,17,17,17,4,4,69,18,18,18,18,2,2,5,3,3,3,3,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,2.1,2.1,1.7,0.97,0.97,0.97,0.97,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,6.941,6.941,118.71,35.453,35.453,35.453,35.453,453.85,453.85,505.21,172.31,172.31,172.31,172.31,0.139553357
